,employee_number,age,attrition,business_travel,department,education,education_field,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,date_birth,remote_work,hourly_rate,daily_rate,distance_from_home,monthly_income,total_working_years
396,340,33,No,desconocido,desconocido,bachillerato,medical,2,female,3,2,sales_executive,3,desconocido,4905,1,No,12,3.0,1,1,3,2,10,0,1,1990,yes,58,1146.0,25.0,2766.6,5
397,341,36,No,desconocido, research_development ,universidad,life_sciences,3,male,1,1,laboratory_technician,3,divorced,6865,1,No,14,3.0,3,1,4,3,7,1,7,1987,yes,60,749.2,6.0,9344.2,17
398,342,30,No,travel_rarely,desconocido,universidad,life_sciences,3,male,3,2,laboratory_technician,3,divorced,11309,1,desconocido,13,3.0,1,3,4,2,10,8,9,1993,yes,49,853.0,7.0,3491.0,7
399,343,60,No,desconocido,desconocido,universidad,desconocido,2,male,4,2,sales_executive,4,divorced,10893,0,desconocido,18,3.0,2,1,3,3,11,1,9,1963,yes,52,312.4,8.8,5220.0,12
400,344,32,No,desconocido,desconocido,fp,life_sciences,4,female,3,2,research_scientist,3,single,2338,4,Yes,14,3.0,4,0,2,3,8,0,7,1991,no,38,1316.0,2.0,6471.2,10
401,345,36,No,desconocido,desconocido,bachillerato,technical_degree,3,female,1,3,manufacturing_director,1,divorced,4235,2,Yes,21,4.0,3,1,2,3,7,7,7,1987,yes,70,363.0,1.0,10252.0,17
402,346,27,No,travel_rarely,desconocido,bachillerato,desconocido,1,male,3,1,research_scientist,1,desconocido,14377,1,desconocido,14,3.0,4,2,3,2,9,6,8,1996,yes,42,1103.0,14.0,3443.4,7
403,347,43,No,desconocido, research_development ,bachillerato,life_sciences,3,male,1,5,research_director,4,desconocido,18625,3,No,14,3.0,2,1,2,3,8,0,7,1980,yes,96,920.0,3.0,19740.0,12
404,348,29,No,travel_rarely,desconocido,bachillerato,desconocido,4,female,2,4,research_director,4,divorced,3423,3,No,14,3.0,2,2,2,2,7,1,7,1994,yes,62,694.0,1.0,4349.2,9
405,349,59,No,desconocido,desconocido,universidad,desconocido,2,male,3,3,manufacturing_director,4,single,20002,6,No,12,3.0,4,0,6,2,9,5,4,1964,no,67,1429.0,5.8,7755.2,15
406,350,43,No,travel_rarely,desconocido,universidad,marketing,4,female,2,3,sales_executive,4,single,20364,3,No,14,3.0,4,0,3,4,21,15,17,1980,yes,56,531.0,4.0,8063.2,23
407,351,44,Yes,travel_rarely,desconocido,bachillerato,medical,1,female,3,3,healthcare_representative,4,married,14075,1,desconocido,11,3.0,4,1,2,3,10,0,5,1979,yes,73,621.0,15.0,6524.8,13
408,352,29,Yes,desconocido, research_development ,bachillerato,technical_degree,2,female,3,1,laboratory_technician,3,divorced,17285,3,Yes,13,3.0,1,2,2,3,7,7,7,1994,yes,39,806.0,7.0,6424.0,10
409,353,32,No,travel_rarely,desconocido,bachillerato,desconocido,3,male,4,2,sales_executive,4,married,11693,1,desconocido,15,3.0,3,2,4,4,10,0,8,1991,no,56,604.0,8.0,6209.0,10
410,354,36,No,travel_rarely,desconocido,universidad,technical_degree,4,female,3,3,healthcare_representative,3,married,5747,3,No,12,3.0,1,0,0,3,7,1,7,1987,yes,63,325.0,10.0,7094.0,8
411,355,52,Yes,desconocido, sales ,bachillerato,desconocido,2,male,3,3,sales_executive,2,single,21534,9,Yes,19,3.0,3,0,2,2,8,7,7,1971,yes,64,1030.0,5.0,9177.8,16
412,356,39,No,travel_rarely,desconocido,fp,desconocido,1,male,3,2,manufacturing_director,3,single,13352,0,desconocido,11,3.0,1,0,6,3,8,1,7,1984,yes,32,524.0,10.0,4534.0,7
413,357,34,No,desconocido,desconocido,bachillerato,desconocido,4,male,3,3,healthcare_representative,4,desconocido,5494,0,desconocido,11,3.0,4,1,0,2,9,1,6,1989,yes,86,943.0,9.0,8500.0,10
414,358,38,No,desconocido,desconocido,fp,life_sciences,2,female,3,2,sales_executive,1,desconocido,19461,3,desconocido,15,3.0,4,1,3,3,7,1,7,1985,yes,31,1009.0,2.0,5785.4,11
415,359,36,No,travel_frequently, sales ,bachillerato,marketing,1,female,4,2,sales_executive,1,married,2261,2,No,16,3.0,4,1,2,2,15,6,13,1987,yes,83,607.0,15.2,4639.0,7
416,360,35,No,desconocido,desconocido,bachillerato,desconocido,4,female,2,2,laboratory_technician,4,desconocido,10846,0,No,12,3.0,2,1,0,3,9,0,0,1988,no,60,817.0,1.0,5363.0,10
417,361,55,Yes,desconocido,desconocido,universidad,desconocido,1,male,4,4,sales_executive,3,desconocido,9277,6,desconocido,17,3.0,3,0,2,2,19,3,8,1968,yes,85,1071.6,13.0,4345.6,5
418,362,34,No,desconocido,desconocido,bachillerato,desconocido,2,male,3,2,laboratory_technician,3,desconocido,17491,4,desconocido,13,3.0,1,2,1,3,8,7,7,1989,no,86,773.2,29.0,6673.4,10
419,363,43,No,desconocido,desconocido,bachillerato,medical,1,female,2,2,research_scientist,3,single,20003,1,Yes,14,3.0,1,0,3,1,20,1,8,1980,no,73,930.0,6.0,4081.0,20
420,364,42,No,travel_rarely,desconocido,bachillerato,human_resources,3,female,3,4,manager,1,married,16616,0,desconocido,14,3.0,3,1,5,3,20,0,9,1981,no,31,1147.0,10.0,5517.6,21
421,365,26,No,travel_rarely,desconocido,bachillerato,desconocido,3,male,4,1,laboratory_technician,1,single,23577,0,No,12,3.0,4,0,2,3,7,0,7,1997,yes,100,652.0,7.0,3578.0,8
422,366,29,Yes,desconocido,desconocido,eso,other,3,female,3,3,healthcare_representative,4,single,22930,0,Yes,12,3.0,1,0,1,3,8,7,7,1994,yes,84,337.0,14.0,9317.4,12
423,367,54,No,desconocido, research_development ,bachillerato,desconocido,4,female,3,4,research_director,4,desconocido,5652,6,desconocido,19,3.0,4,0,3,2,20,12,7,1969,no,54,971.0,1.0,17328.0,29
424,368,55,No,desconocido,desconocido,universidad,desconocido,2,male,4,4,research_director,4,divorced,12414,2,No,13,3.0,4,2,4,4,7,0,0,1968,yes,81,1136.0,1.0,7449.4,31
425,369,40,No,non_travel,desconocido,universidad,other,3,male,3,2,laboratory_technician,3,desconocido,23099,3,No,11,3.0,3,2,2,3,8,0,7,1983,yes,81,663.0,9.0,5927.6,11
426,370,31,No,desconocido,desconocido,fp,desconocido,1,male,3,3,sales_executive,4,divorced,8386,1,desconocido,18,3.0,1,1,5,3,13,9,9,1992,yes,31,326.0,8.0,10793.0,13
427,371,46,Yes,desconocido,desconocido,bachillerato,marketing,1,male,3,3,sales_executive,4,divorced,15986,4,No,11,3.0,1,1,1,4,7,4,3,1977,yes,52,377.0,9.0,4058.2,28
428,372,45,No,travel_rarely,desconocido,bachillerato,medical,2,male,1,3,healthcare_representative,1,desconocido,19863,2,Yes,18,3.0,2,1,2,3,7,0,7,1978,no,95,1038.0,20.0,10851.0,13
429,373,49,No,travel_rarely,desconocido,universidad,life_sciences,3,male,3,3,healthcare_representative,2,divorced,20948,3,desconocido,14,3.0,2,2,3,3,8,0,7,1974,no,35,1490.0,7.0,10466.0,29
430,374,29,No,travel_rarely,desconocido,bachillerato,desconocido,3,male,2,2,sales_executive,3,desconocido,23757,1,desconocido,14,3.0,3,2,3,3,10,0,4,1994,yes,77,1246.0,19.0,4673.4,10
431,375,29,Yes,desconocido,desconocido,universidad,technical_degree,1,male,2,1,research_scientist,1,single,7568,6,No,13,3.0,3,0,2,1,9,0,7,1994,yes,100,224.0,1.0,2362.0,9
432,376,29,No,desconocido,desconocido,eso,other,3,female,1,2,healthcare_representative,1,desconocido,7288,3,No,13,3.0,3,1,3,3,7,0,7,1994,yes,39,441.0,8.0,5835.2,9
433,377,40,No,travel_rarely, human_resources ,fp,desconocido,3,male,3,4,manager,4,single,17381,1,Yes,21,4.0,4,0,2,3,21,7,7,1983,yes,38,898.0,6.0,7369.0,21
434,378,48,No,desconocido, sales ,universidad,life_sciences,3,female,3,2,sales_executive,3,divorced,13693,8,No,14,3.0,3,1,2,3,8,7,7,1975,yes,96,812.8,16.0,6439.0,18
435,379,53,Yes,desconocido,desconocido,doctorado,desconocido,3,female,2,3,manufacturing_director,4,married,14618,0,desconocido,16,3.0,2,1,4,3,33,1,9,1970,yes,78,607.0,2.0,4068.8,5
436,380,44,No,desconocido,desconocido,bachillerato,medical,2,female,3,5,research_director,4,desconocido,3549,0,Yes,14,3.0,4,1,4,2,22,1,10,1979,no,31,1313.0,7.0,7456.2,9
437,381,45,No,desconocido,desconocido,doctorado,desconocido,3,female,1,2,laboratory_technician,1,desconocido,23447,1,desconocido,14,3.0,1,0,3,3,10,1,4,1978,no,50,1015.0,5.0,5769.0,10
438,382,45,No,non_travel,desconocido,bachillerato,marketing,1,male,2,2,sales_executive,1,desconocido,24162,1,desconocido,15,3.0,1,1,2,3,10,4,5,1978,no,52,638.8,26.0,4385.0,10
439,383,34,No,travel_frequently,desconocido,universidad,desconocido,3,male,4,2,manufacturing_director,4,desconocido,17000,1,desconocido,13,3.0,1,1,3,3,9,7,2,1989,yes,42,426.0,10.0,6341.0,9
440,384,39,No,desconocido, research_development ,doctorado,medical,2,male,3,2,manufacturing_director,1,desconocido,3835,2,desconocido,13,3.0,4,3,3,3,7,7,7,1984,no,76,1387.0,10.0,7072.6,15
441,385,27,No,desconocido, research_development ,bachillerato,desconocido,3,male,2,1,laboratory_technician,1,divorced,16290,1,No,11,3.0,1,2,3,3,7,0,7,1996,yes,70,1302.0,7.2,4066.0,7
442,386,45,No,travel_rarely,desconocido,fp,desconocido,4,female,2,2,manufacturing_director,4,divorced,5388,1,desconocido,19,3.0,1,2,3,3,10,3,9,1978,yes,59,1329.0,2.0,4253.8,10
443,387,44,No,desconocido,desconocido,doctorado,desconocido,1,male,3,2,human_resources,4,married,10503,4,Yes,11,3.0,3,0,3,3,10,0,2,1979,yes,37,602.0,1.0,6471.2,14
444,388,25,No,desconocido,desconocido,eso,life_sciences,4,male,4,2,manufacturing_director,3,divorced,4973,1,desconocido,17,3.0,3,2,6,3,7,0,7,1998,no,77,772.0,2.0,5206.0,7
445,389,49,No,desconocido,desconocido,bachillerato,desconocido,3,male,3,4,manager,3,single,22384,4,desconocido,14,3.0,1,0,2,3,8,0,0,1974,yes,36,809.0,1.0,7416.2,23
446,390,48,Yes,travel_frequently,desconocido,fp,desconocido,4,female,3,1,sales_representative,3,desconocido,11740,2,desconocido,11,3.0,3,2,3,3,9,7,7,1975,no,95,905.0,7.0,2655.0,19
447,391,26,No,desconocido,desconocido,bachillerato,medical,4,male,3,1,laboratory_technician,4,desconocido,11925,1,No,20,4.0,3,0,5,3,7,5,7,1997,yes,76,786.0,7.0,2570.0,7
448,392,44,No,travel_rarely,desconocido,bachillerato,life_sciences,3,female,4,3,healthcare_representative,4,desconocido,14810,1,desconocido,19,3.0,2,1,2,3,8,6,7,1979,yes,96,921.0,2.0,11733.2,14
449,393,36,No,desconocido,desconocido,universidad,desconocido,3,female,3,2,sales_representative,4,single,7439,3,desconocido,15,3.0,3,0,2,2,13,6,7,1987,yes,51,530.0,2.0,4502.0,17
450,394,46,No,desconocido, research_development ,universidad,desconocido,3,male,3,2,healthcare_representative,2,single,9697,6,No,14,3.0,4,0,3,3,10,0,9,1977,yes,34,717.0,13.0,5317.6,19
451,395,35,No,desconocido,desconocido,universidad,life_sciences,4,male,3,2,manufacturing_director,3,married,5151,2,desconocido,16,3.0,2,1,3,3,7,0,7,1988,yes,49,1370.0,27.0,9251.4,17
452,396,30,No,travel_frequently,desconocido,universidad,desconocido,4,female,2,1,research_scientist,1,desconocido,26427,0,desconocido,16,3.0,4,0,2,3,9,0,7,1993,no,78,1312.0,2.0,4968.0,10
453,397,30,No,desconocido,desconocido,fp,marketing,3,male,2,3,sales_executive,1,desconocido,3088,2,No,11,3.0,1,1,2,3,7,1,7,1993,yes,94,979.0,15.0,9765.6,13
454,398,33,No,non_travel,desconocido,bachillerato,marketing,4,female,3,2,sales_executive,2,desconocido,10697,8,No,15,3.0,4,0,2,2,11,1,7,1990,yes,62,1283.0,2.0,5147.0,13
455,399,32,No,desconocido,desconocido,universidad,desconocido,2,male,3,1,research_scientist,2,single,17674,2,No,14,3.0,2,0,3,3,7,0,7,1991,yes,65,953.0,5.0,2718.0,12
457,400,31,No,travel_rarely,desconocido,universidad,marketing,1,female,2,2,sales_executive,4,desconocido,13402,1,desconocido,14,3.0,1,2,3,3,12,5,7,1992,yes,91,196.0,29.0,5468.0,15
462,401,45,No,non_travel,desconocido,universidad,desconocido,3,female,3,2,sales_executive,3,married,19665,4,desconocido,22,4.0,2,2,3,4,8,5,7,1978,no,67,589.0,2.0,5154.0,10
465,402,40,No,travel_rarely, research_development ,universidad,desconocido,1,male,3,4,manager,1,desconocido,18991,2,desconocido,11,3.0,1,1,3,3,19,11,16,1983,yes,98,1137.0,1.0,5537.6,22
468,403,26,No,travel_frequently,desconocido,bachillerato,other,3,male,4,1,laboratory_technician,4,married,7102,0,No,18,3.0,1,1,3,3,7,7,7,1997,yes,61,1096.0,6.0,5874.8,8
470,404,47,No,desconocido,desconocido,universidad,desconocido,3,male,3,2,research_scientist,2,married,2125,8,desconocido,18,3.0,3,1,4,4,8,1,7,1976,no,64,1169.0,14.0,6681.0,8
471,405,34,No,travel_rarely,desconocido,universidad,medical,4,male,3,3,sales_executive,3,divorced,22914,1,No,18,3.0,3,1,2,2,8,1,1,1989,yes,39,1239.0,13.0,4500.0,9
472,406,26,No,desconocido, research_development ,bachillerato,medical,3,male,3,1,laboratory_technician,1,single,20006,0,No,13,3.0,4,0,6,3,7,7,6,1997,yes,95,157.0,1.0,4626.6,8
473,407,27,No,travel_rarely,desconocido,bachillerato,desconocido,4,male,3,2,sales_executive,4,desconocido,5099,1,desconocido,14,3.0,1,0,5,3,7,0,7,1996,no,44,954.0,9.0,6341.0,7
474,408,31,Yes,travel_frequently, sales ,universidad,marketing,1,male,3,2,sales_executive,4,desconocido,21075,1,Yes,11,3.0,3,0,4,3,10,0,8,1992,yes,63,754.0,26.0,3530.6,10
475,409,33,No,travel_frequently,desconocido,fp,life_sciences,4,male,3,2,healthcare_representative,3,divorced,18079,1,desconocido,20,3.0,3,3,2,3,9,2,8,1990,yes,66,1303.0,7.0,4139.6,9
476,410,31,No,desconocido,desconocido,bachillerato,desconocido,3,female,3,3,research_director,3,married,26862,4,No,20,4.0,3,1,2,4,11,4,8,1992,yes,40,697.0,10.0,6280.6,13
477,411,35,No,desconocido,desconocido,universidad,medical,2,male,3,2,research_scientist,3,desconocido,18698,1,No,19,3.0,2,0,5,3,10,0,8,1988,yes,48,1395.0,9.0,5098.0,10
478,412,33,No,travel_rarely,desconocido,fp,desconocido,2,female,3,2,healthcare_representative,4,married,21653,0,Yes,13,3.0,1,1,6,3,9,8,1,1990,yes,95,501.0,15.0,10384.4,15
479,413,39,No,travel_rarely,desconocido,eso,life_sciences,1,male,3,2,research_scientist,4,single,5340,7,No,13,3.0,1,0,2,3,7,1,7,1984,no,52,116.0,24.0,3369.0,9
480,414,36,No,travel_rarely,desconocido,bachillerato,desconocido,4,female,2,3,sales_executive,4,married,12695,0,No,19,3.0,3,2,2,3,9,3,4,1987,yes,94,557.0,17.4,9221.0,10
481,415,41,No,travel_rarely,desconocido,universidad,life_sciences,1,female,2,4,manufacturing_director,2,married,5640,0,No,23,3.0,3,1,3,3,20,0,10,1982,yes,60,582.0,28.0,13570.0,21
482,416,34,No,desconocido, sales ,bachillerato,marketing,4,female,2,2,sales_executive,3,married,8978,1,No,21,4.0,4,2,2,3,8,1,7,1989,no,95,704.0,28.0,6712.0,8
483,417,38,No,travel_rarely,desconocido,fp,desconocido,1,female,3,2,sales_executive,4,married,5982,1,No,11,3.0,3,1,1,3,10,1,9,1985,yes,100,372.2,10.0,9869.6,10
484,418,39,No,travel_rarely,desconocido,eso,desconocido,4,male,2,3,healthcare_representative,1,desconocido,21457,4,desconocido,15,3.0,1,1,5,3,7,1,7,1984,yes,42,613.0,6.0,9991.0,9
485,419,34,No,travel_rarely,desconocido,universidad,desconocido,1,female,3,3,research_director,2,single,21293,0,No,11,3.0,3,0,4,3,12,2,11,1989,no,53,419.0,7.0,4088.8,6
486,420,44,No,travel_rarely,desconocido,universidad,medical,1,female,2,3,healthcare_representative,4,married,2094,3,desconocido,14,3.0,4,1,4,3,22,5,17,1979,yes,42,477.0,7.0,10248.0,24
487,421,46,No,desconocido,desconocido,universidad,desconocido,1,male,3,2,sales_executive,4,single,20445,4,desconocido,21,3.0,3,0,4,3,9,0,8,1977,yes,98,1211.0,5.0,5368.0,14
488,422,41,No,travel_frequently, research_development ,bachillerato,life_sciences,4,male,2,4,manager,1,divorced,12888,4,desconocido,13,3.0,2,1,2,2,7,7,7,1982,no,91,857.0,10.0,8130.2,15
489,423,39,No,desconocido, research_development ,universidad,desconocido,3,female,3,3,healthcare_representative,3,single,6420,0,No,25,4.0,4,0,1,3,19,11,8,1984,no,64,505.0,2.0,10938.0,20
490,424,42,No,travel_rarely,desconocido,bachillerato,medical,4,female,2,1,laboratory_technician,1,divorced,8007,0,Yes,11,3.0,3,1,4,3,9,7,8,1981,yes,56,269.0,2.0,2593.0,10
491,425,33,No,travel_frequently, research_development ,universidad,desconocido,4,female,3,3,manager,2,married,23364,6,desconocido,11,3.0,2,2,2,3,10,8,8,1990,yes,74,553.0,5.0,11878.0,12
492,426,35,No,travel_rarely,desconocido,universidad,technical_degree,3,male,3,3,manufacturing_director,2,single,18264,0,No,13,3.0,4,0,5,3,16,0,13,1988,yes,62,1296.0,5.0,8095.0,17
493,427,33,Yes,travel_rarely,desconocido,eso,medical,2,male,3,3,manager,3,married,24619,7,desconocido,12,3.0,4,0,2,4,7,7,7,1990,yes,56,1277.0,15.0,5521.8,15
494,428,40,No,travel_rarely,desconocido,bachillerato,life_sciences,2,female,3,4,manufacturing_director,3,single,20364,7,No,15,3.0,3,0,3,3,20,5,13,1983,no,75,302.0,6.0,7839.0,22
495,429,41,No,travel_rarely,desconocido,universidad,human_resources,2,male,2,5,manager,4,divorced,8861,3,No,15,3.0,2,3,2,2,21,12,6,1982,no,73,427.0,10.0,8318.4,23
496,430,27,No,desconocido,desconocido,bachillerato,desconocido,4,female,2,2,healthcare_representative,1,desconocido,23398,8,No,19,3.0,1,0,2,1,7,0,7,1996,no,55,975.0,7.0,3894.0,6
497,431,52,No,travel_rarely,desconocido,universidad,marketing,3,male,2,4,manager,1,desconocido,10084,1,desconocido,11,3.0,1,0,3,4,34,1,16,1971,yes,31,621.0,3.0,16856.0,7
498,432,51,No,travel_rarely,desconocido,universidad,marketing,1,female,3,4,manager,3,married,5594,2,No,14,3.0,3,1,2,2,20,4,17,1972,no,66,1318.0,26.0,6067.0,10
499,433,47,No,travel_rarely,desconocido,fp,marketing,3,female,3,2,sales_executive,4,desconocido,17783,0,desconocido,22,4.0,1,1,2,3,7,7,7,1976,yes,35,249.0,2.0,4537.0,8
500,434,50,No,non_travel, research_development ,universidad,desconocido,1,male,3,4,manager,1,divorced,4544,1,desconocido,11,3.0,4,1,3,3,31,14,7,1973,no,98,881.0,2.0,17924.0,31
501,435,35,No,travel_rarely, research_development ,eso,life_sciences,4,female,3,2,healthcare_representative,4,married,19170,1,desconocido,25,4.0,4,1,2,1,10,0,7,1988,yes,51,1137.0,21.0,4014.0,10
502,436,39,No,travel_rarely,desconocido,eso,desconocido,4,female,2,4,manufacturing_director,4,married,7060,1,No,16,3.0,3,1,3,3,21,11,8,1984,yes,65,466.0,1.0,12742.0,7
503,437,39,No,travel_frequently,desconocido,bachillerato,medical,4,female,3,3,manufacturing_director,1,single,5083,1,desconocido,13,3.0,3,0,2,3,21,2,8,1984,no,82,945.0,22.0,4691.0,8
504,438,41,No,desconocido,desconocido,fp,desconocido,2,female,4,1,research_scientist,3,desconocido,18863,1,No,13,3.0,3,0,3,3,10,0,8,1982,no,43,509.0,7.0,3376.0,9
505,439,44,Yes,desconocido, human_resources ,fp,medical,2,male,2,3,human_resources,1,married,2326,9,No,14,3.0,4,1,1,3,20,3,6,1979,yes,91,1376.0,1.0,10482.0,24
506,440,42,No,desconocido,desconocido,fp,medical,4,male,3,4,manager,1,desconocido,14399,0,No,17,3.0,4,1,3,3,22,13,7,1981,no,35,469.0,2.0,6794.8,23
507,441,52,No,travel_rarely,desconocido,universidad,life_sciences,2,male,3,3,healthcare_representative,2,single,15322,7,desconocido,19,3.0,4,0,4,3,8,4,0,1971,yes,87,994.0,7.0,5453.8,18
508,442,38,No,desconocido,desconocido,bachillerato,desconocido,3,male,4,1,human_resources,3,desconocido,6004,1,No,13,3.0,4,1,2,4,7,5,0,1985,yes,37,433.0,1.0,6623.8,7
509,443,46,No,desconocido, human_resources ,fp,life_sciences,4,female,3,1,human_resources,1,desconocido,22957,6,desconocido,12,3.0,3,0,3,4,7,5,7,1977,yes,44,991.0,1.0,5724.0,10
510,444,35,No,desconocido,desconocido,universidad,life_sciences,3,male,3,2,research_scientist,3,single,2690,1,desconocido,11,3.0,2,0,3,3,9,1,1,1988,no,87,482.0,4.0,4249.0,6
511,445,28,No,travel_rarely, research_development ,eso,life_sciences,3,male,1,2,manufacturing_director,2,married,3173,1,desconocido,14,3.0,2,2,2,2,8,1,7,1995,yes,96,1083.0,29.0,6549.0,8
512,446,44,No,desconocido,desconocido,bachillerato,life_sciences,4,male,3,4,research_director,1,married,22074,3,No,13,3.0,3,1,1,4,20,14,17,1979,yes,32,136.0,28.0,4190.6,10
513,447,50,No,desconocido,desconocido,doctorado,desconocido,3,male,1,4,research_director,4,desconocido,24450,1,desconocido,13,3.0,4,0,2,3,32,13,9,1973,no,88,333.0,22.0,14411.0,15
514,448,55,No,travel_rarely,desconocido,doctorado,marketing,3,male,2,5,manager,4,desconocido,23037,1,No,21,4.0,3,1,3,3,36,2,13,1968,yes,60,685.0,8.8,19586.0,36
515,449,39,No,desconocido, sales ,bachillerato,desconocido,4,male,4,3,sales_executive,3,married,4658,2,No,11,3.0,1,1,3,3,7,7,6,1984,yes,38,1462.0,6.0,8237.0,11
516,450,49,No,desconocido, research_development ,universidad,desconocido,1,female,3,1,laboratory_technician,1,desconocido,22102,1,desconocido,14,3.0,4,1,3,2,9,1,4,1974,yes,84,722.0,15.0,3211.0,10
517,451,45,No,desconocido,desconocido,fp,technical_degree,4,female,2,4,research_director,2,single,17119,1,desconocido,11,3.0,3,0,2,3,21,8,6,1978,no,48,778.4,28.0,16704.0,21
518,452,46,No,desconocido,desconocido,bachillerato,desconocido,3,male,3,3,sales_executive,4,desconocido,5596,4,desconocido,12,3.0,2,1,5,2,10,0,3,1977,no,74,1277.0,2.0,7870.6,10
519,453,27,No,desconocido,desconocido,bachillerato,desconocido,4,female,2,1,research_scientist,1,married,23844,0,No,19,3.0,4,1,2,3,7,7,3,1996,no,77,1131.0,15.0,4774.0,8
520,454,42,No,travel_rarely,desconocido,bachillerato,desconocido,1,male,3,5,manager,3,married,17312,5,desconocido,11,3.0,1,0,2,2,22,4,14,1981,yes,56,300.0,2.0,7172.4,24
521,455,49,No,desconocido, sales ,bachillerato,desconocido,4,male,2,2,sales_executive,2,married,13243,2,desconocido,14,3.0,4,0,3,2,9,0,8,1974,yes,63,1023.0,2.0,5722.4,17
522,456,29,No,travel_rarely,desconocido,fp,life_sciences,4,female,2,2,laboratory_technician,3,single,12682,0,Yes,12,3.0,4,0,3,3,9,0,8,1994,yes,49,153.0,15.0,4471.8,10
523,457,34,No,non_travel,desconocido,universidad,marketing,1,male,3,2,sales_executive,3,desconocido,10034,0,No,20,4.0,3,0,2,3,9,8,7,1989,no,72,1065.0,12.8,4568.0,14
524,458,37,No,desconocido,desconocido,universidad,desconocido,1,male,2,2,manufacturing_director,3,divorced,2689,1,No,18,3.0,3,1,2,3,7,0,7,1986,no,51,1115.0,1.0,5993.0,10
525,459,36,No,desconocido,desconocido,bachillerato,desconocido,2,male,2,2,manufacturing_director,2,single,22656,1,No,13,3.0,3,0,3,3,6,0,3,1987,yes,95,1195.0,11.0,6499.0,6
526,460,45,No,desconocido,desconocido,bachillerato,desconocido,3,male,3,1,research_scientist,4,single,9752,5,desconocido,13,3.0,2,0,2,2,6,0,3,1978,yes,83,1316.0,29.0,3452.0,9
527,461,29,No,travel_rarely,desconocido,bachillerato,desconocido,3,male,3,1,research_scientist,4,desconocido,22673,1,No,19,3.0,1,0,1,3,6,1,5,1994,no,60,665.0,15.0,5993.4,6
528,462,26,No,desconocido,desconocido,bachillerato,desconocido,3,female,3,2,manufacturing_director,2,desconocido,26767,1,No,20,4.0,1,1,6,1,6,1,4,1997,no,84,1479.0,1.0,6397.0,6
529,463,28,No,desconocido,desconocido,universidad,life_sciences,2,male,3,2,sales_executive,4,single,20750,1,No,16,3.0,4,0,1,3,7,0,7,1995,yes,92,304.0,9.0,4848.2,13
530,464,42,No,travel_frequently,desconocido,universidad,technical_degree,4,female,2,2,healthcare_representative,4,married,4386,0,No,11,3.0,4,3,4,4,6,0,4,1981,yes,71,1368.0,8.2,4461.0,7
531,465,31,No,travel_rarely, sales ,eso,life_sciences,2,male,3,2,sales_executive,4,desconocido,8346,4,Yes,13,3.0,3,0,2,4,6,0,5,1992,yes,77,828.0,2.0,5795.8,10
532,466,37,No,travel_rarely,desconocido,bachillerato,desconocido,4,female,3,3,manufacturing_director,4,single,23848,4,desconocido,17,3.0,4,0,3,4,6,1,2,1986,yes,59,799.0,8.8,5523.6,8
533,467,37,No,non_travel,desconocido,universidad,desconocido,1,male,3,3,sales_executive,2,divorced,24666,1,No,13,3.0,4,1,6,3,9,7,7,1986,no,69,142.0,9.0,4972.8,9
534,468,37,No,travel_rarely,desconocido,universidad,life_sciences,2,female,3,2,manufacturing_director,2,married,15701,6,desconocido,12,3.0,2,1,2,2,6,4,3,1986,no,65,446.0,1.0,6788.4,8
535,469,24,No,travel_rarely,desconocido,bachillerato,medical,2,male,4,1,research_scientist,4,desconocido,21630,1,desconocido,11,3.0,2,2,3,3,6,1,4,1999,yes,89,691.0,23.0,2725.0,16
536,470,50,No,desconocido,desconocido,bachillerato,desconocido,1,male,3,5,manager,2,married,7999,1,No,11,3.0,3,1,2,3,32,10,7,1973,no,99,1246.0,3.0,6767.4,7
537,471,34,No,desconocido,desconocido,fp,life_sciences,2,male,2,1,research_scientist,4,desconocido,22794,1,Yes,13,3.0,4,1,3,3,6,1,3,1989,yes,83,254.0,1.0,3622.0,6
538,472,27,No,travel_frequently,desconocido,eso,medical,4,female,4,2,sales_executive,4,desconocido,16673,1,desconocido,20,3.0,2,2,3,3,6,0,4,1996,no,71,1410.0,3.0,10096.0,11
539,473,25,No,desconocido, sales ,eso,desconocido,4,female,3,2,sales_executive,4,single,22807,1,No,23,4.0,2,0,5,2,6,1,4,1998,no,32,883.0,5.2,6180.0,6
540,474,34,No,desconocido, sales ,bachillerato,other,4,male,3,2,sales_executive,4,single,18686,1,No,22,4.0,3,0,5,3,6,1,4,1989,yes,60,304.0,9.2,6274.0,6
541,475,34,No,desconocido, research_development ,universidad,desconocido,3,female,2,1,research_scientist,1,desconocido,7530,1,desconocido,11,3.0,3,0,3,3,6,1,3,1989,yes,86,121.0,2.0,4381.0,6
542,476,35,No,desconocido,desconocido,bachillerato,other,3,male,3,3,manufacturing_director,3,single,18869,3,No,21,4.0,2,0,3,4,8,1,6,1988,no,59,950.0,7.0,4880.6,17
543,477,35,No,desconocido,desconocido,eso,medical,1,female,2,1,research_scientist,1,desconocido,17852,1,desconocido,11,3.0,4,0,3,2,6,1,1,1988,no,53,1343.0,7.2,2559.0,6
