,employee_number,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income, monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,same_as_monthly_income,date_birth,remote_work
283,279,36,No,travel_frequently,1480,research_development,3.0,fp,desconocido,4,male,30,3,1,laboratory_technician,2,desconocido,4386,15062,4,No,12,3,3,0,13,3,2,8,7,2,,1987,yes
284,280,33,No,travel_rarely,793,research_development,14.0,bachillerato,desconocido,4,female,87,3,1,research_scientist,2,desconocido,5643,4673,1,desconocido,13,3,4,1,8,5,3,8,1,6,,1990,yes
285,281,51,No,travel_rarely,313,desconocido,3.0,bachillerato,desconocido,4,female,98,3,4,healthcare_representative,2,single,6767,7192,3,desconocido,18,3,3,0,14,6,3,7,1,0,,1972,no
286,282,27,No,travel_rarely,894,desconocido,9.0,bachillerato,medical,4,female,99,3,1,research_scientist,2,single,8022,11781,1,No,16,3,4,0,17,2,2,7,0,3,,1996,no
287,283,37,No,desconocido,290,desconocido,21.0,bachillerato,life_sciences,2,male,65,4,1,research_scientist,1,desconocido,3564,22977,1,Yes,12,3,1,1,18,3,2,8,1,7,"3564,0",1986,yes
288,284,38,No,desconocido,1084,desconocido,29.0,bachillerato,desconocido,4,male,54,3,2,manufacturing_director,4,married,6261,4185,3,No,18,3,1,1,9,3,1,7,1,7,"6261,0",1985,yes
289,285,49,No,non_travel,1002,desconocido,18.0,universidad,desconocido,4,male,92,3,2,manufacturing_director,4,divorced,6804,23793,1,Yes,15,3,1,2,7,0,3,7,1,7,"6804,0",1974,no
290,286,27,No,desconocido,1242,desconocido,20.0,bachillerato,life_sciences,4,female,90,3,2,sales_executive,3,single,9334,12916,1,desconocido,14,3,4,0,7,2,3,7,0,7,,1996,no
291,287,45,No,desconocido,1052,sales,6.0,bachillerato,medical,4,female,57,2,3,sales_executive,4,single,4797,16840,6,desconocido,12,3,4,0,23,2,3,19,12,8,,1978,yes
292,288,35,No,desconocido,944,desconocido,1.0,bachillerato,desconocido,3,female,92,3,3,sales_executive,3,single,5434,9096,1,No,14,3,1,0,10,3,4,10,0,8,,1988,yes
293,289,33,Yes,travel_rarely,465,desconocido,2.0,fp,desconocido,1,female,39,3,1,laboratory_technician,1,desconocido,6471,21509,7,No,20,3,1,0,13,3,4,9,1,7,,1990,yes
294,290,52,No,desconocido,771,desconocido,2.0,universidad,life_sciences,1,male,79,2,5,manager,3,desconocido,7449,21030,1,Yes,18,3,4,0,33,2,4,33,15,12,,1971,yes
295,291,40,No,desconocido,1416,research_development,2.0,fp,medical,1,male,49,3,5,research_director,3,desconocido,19436,5949,0,No,19,3,4,1,14,5,3,21,3,9,"19436,0",1983,yes
296,292,38,No,non_travel,1327,sales,2.0,fp,life_sciences,4,male,39,2,2,sales_executive,4,desconocido,6471,19682,3,No,18,3,4,1,13,0,3,8,7,5,,1985,yes
297,293,46,No,desconocido,488,desconocido,13.0,bachillerato,desconocido,2,female,75,1,4,manager,2,married,9178,14977,3,Yes,12,3,2,1,28,2,2,7,7,7,,1977,no
298,294,45,No,travel_rarely,1385,desconocido,20.0,fp,medical,3,male,79,3,4,healthcare_representative,4,married,7785,7501,0,Yes,14,3,2,0,21,2,3,20,4,10,,1978,yes
307,295,32,No,desconocido,1018,desconocido,2.0,universidad,medical,1,female,74,4,2,research_scientist,4,single,5055,10557,7,desconocido,16,3,3,0,12,0,2,7,0,7,"5055,0",1991,yes
312,296,29,No,travel_rarely,144,desconocido,10.0,eso,desconocido,4,female,39,2,2,sales_executive,2,divorced,5835,11866,1,Yes,14,3,1,2,7,2,3,7,1,7,,1994,no
313,297,37,No,desconocido,1319,desconocido,6.0,bachillerato,medical,3,male,51,4,2,research_scientist,1,divorced,5974,17001,4,desconocido,13,3,1,2,13,2,3,7,6,7,"5974,0",1986,no
318,298,37,No,desconocido,1107,desconocido,14.0,bachillerato,desconocido,4,female,95,3,1,laboratory_technician,1,desconocido,3034,26914,1,No,12,3,3,1,18,2,2,18,12,17,"3034,0",1986,no
319,299,56,No,desconocido,906,desconocido,6.0,bachillerato,life_sciences,3,female,86,4,4,sales_executive,1,married,13212,18256,9,No,11,3,4,3,36,0,2,7,7,7,"13212,0",1967,yes
321,300,46,No,desconocido,1485,desconocido,18.0,bachillerato,medical,3,female,87,3,2,manufacturing_director,3,desconocido,10925,26314,2,No,14,3,3,1,19,5,2,10,0,8,,1977,no
322,301,30,No,non_travel,1116,desconocido,2.0,bachillerato,desconocido,3,female,49,3,1,laboratory_technician,4,single,5885,7181,0,desconocido,14,3,3,0,12,2,2,11,6,7,,1993,no
325,302,45,No,travel_rarely,561,desconocido,2.0,bachillerato,other,4,male,61,3,2,sales_executive,2,desconocido,4805,16177,0,No,19,3,2,1,13,3,4,8,3,7,"4805,0",1978,yes
332,303,37,No,travel_rarely,482,desconocido,3.0,bachillerato,other,3,male,36,3,3,manufacturing_director,3,married,9434,9606,1,No,15,3,3,1,10,2,3,10,7,8,"9434,0",1986,yes
333,304,54,No,desconocido,397,desconocido,19.0,universidad,desconocido,3,male,88,3,3,human_resources,2,desconocido,10925,6729,2,desconocido,15,3,3,1,16,1,4,9,7,1,,1969,yes
334,305,38,No,travel_rarely,243,sales,7.0,universidad,marketing,4,female,46,2,2,sales_executive,4,desconocido,5355,7791,0,No,20,3,1,0,15,2,3,7,0,5,,1985,yes
341,306,32,No,travel_rarely,1018,desconocido,3.0,fp,life_sciences,3,female,39,3,3,research_director,4,single,11159,19373,3,desconocido,15,3,4,0,10,6,3,7,7,7,"11159,0",1991,no
345,307,28,Yes,desconocido,654,research_development,5.0,fp,desconocido,3,female,67,1,1,research_scientist,2,desconocido,2216,3872,7,Yes,13,3,4,0,10,4,3,7,3,7,"2216,0",1995,yes
353,308,40,No,desconocido,791,desconocido,15.0,fp,medical,1,female,38,4,2,healthcare_representative,2,desconocido,4244,9931,1,No,24,4,4,1,8,2,3,8,3,7,"4244,0",1983,yes
356,309,29,No,travel_rarely,672,desconocido,23.0,fp,desconocido,3,male,81,4,1,research_scientist,3,married,2700,23779,1,desconocido,24,4,3,1,10,3,3,10,0,7,"2700,0",1994,yes
358,310,28,No,desconocido,760,sales,2.0,universidad,desconocido,2,female,81,3,2,sales_executive,2,desconocido,6174,3698,1,desconocido,20,4,1,0,8,2,3,8,7,5,,1995,yes
359,311,26,Yes,desconocido,746,desconocido,5.0,fp,medical,3,female,88,2,1,research_scientist,3,married,2366,20898,1,desconocido,14,3,1,1,8,2,3,8,1,7,"2366,0",1997,yes
364,312,31,No,desconocido,616,desconocido,12.0,bachillerato,medical,4,female,41,3,2,healthcare_representative,4,desconocido,5665,17369,0,desconocido,11,3,3,2,10,2,1,9,8,5,,1992,no
368,313,39,No,travel_rarely,903,desconocido,2.0,doctorado,desconocido,1,male,41,4,3,sales_executive,3,single,5771,2560,0,No,18,3,4,0,9,3,3,8,0,7,,1984,no
370,314,46,No,desconocido,566,desconocido,7.0,fp,medical,4,male,75,3,3,manufacturing_director,3,desconocido,10845,24208,6,desconocido,13,3,2,1,10,3,3,8,0,7,"10845,0",1977,no
371,315,54,No,travel_rarely,1441,desconocido,17.0,bachillerato,technical_degree,3,female,56,3,3,manufacturing_director,3,desconocido,6838,13943,8,desconocido,11,3,3,1,22,2,3,10,0,8,,1969,yes
372,316,30,No,travel_rarely,153,desconocido,8.0,fp,desconocido,2,female,73,4,3,research_director,1,desconocido,7757,17802,0,Yes,12,3,3,3,18,4,2,8,1,7,,1993,yes
373,317,26,No,desconocido,1066,desconocido,2.0,fp,medical,4,male,32,4,2,manufacturing_director,4,married,5472,3334,1,desconocido,12,3,2,0,14,2,3,8,1,3,"5472,0",1997,no
374,318,55,No,travel_frequently,135,desconocido,18.0,universidad,medical,3,male,62,3,2,healthcare_representative,2,married,6385,12992,3,desconocido,14,3,4,2,12,3,3,8,6,7,"6385,0",1968,yes
375,319,50,No,non_travel,145,sales,1.0,bachillerato,life_sciences,4,female,95,3,2,sales_executive,3,married,6347,24920,0,desconocido,12,3,1,1,19,3,3,18,0,13,"6347,0",1973,yes
376,320,32,No,non_travel,1109,desconocido,29.0,universidad,desconocido,4,female,69,3,1,laboratory_technician,3,single,2689,11135,9,No,12,3,2,0,10,2,3,8,7,7,,1991,yes
377,321,53,No,travel_frequently,124,desconocido,2.0,bachillerato,marketing,3,female,38,2,3,sales_executive,2,desconocido,7525,23537,2,desconocido,12,3,1,1,30,2,2,15,6,12,"7525,0",1970,yes
378,322,40,No,travel_rarely,300,desconocido,26.0,bachillerato,desconocido,3,male,74,3,2,sales_executive,1,married,2689,22217,1,desconocido,14,3,2,1,8,3,2,7,7,5,,1983,no
379,323,55,No,desconocido,444,desconocido,2.0,eso,desconocido,3,male,40,2,4,manager,1,single,9623,17323,7,No,15,3,2,0,24,3,4,9,6,2,,1968,yes
380,324,28,Yes,non_travel,1366,desconocido,24.0,fp,desconocido,2,male,72,2,3,healthcare_representative,1,single,3210,12355,1,No,12,3,1,0,10,2,2,10,1,9,,1995,no
381,325,28,No,travel_rarely,857,desconocido,10.0,bachillerato,other,3,female,59,3,2,research_scientist,3,single,3660,7909,3,No,13,3,4,0,14,4,4,8,1,7,"3660,0",1995,yes
382,326,35,Yes,desconocido,1204,desconocido,4.0,bachillerato,technical_degree,4,male,86,3,3,sales_executive,1,desconocido,3440,10333,0,desconocido,22,4,1,0,9,2,3,8,4,7,,1988,yes
383,327,33,Yes,travel_frequently,827,research_development,7.4,universidad,medical,3,female,54,2,2,research_scientist,3,single,3647,3129,1,No,22,4,2,0,14,4,3,13,3,8,,1990,yes
384,328,25,Yes,desconocido,1219,research_development,4.0,eso,technical_degree,4,male,32,3,1,laboratory_technician,4,married,4386,4605,1,desconocido,15,3,2,1,7,3,4,7,5,6,,1998,yes
385,329,38,No,desconocido,770,sales,10.0,universidad,desconocido,3,male,70,2,3,sales_executive,3,desconocido,8740,5569,0,Yes,14,3,2,2,9,2,2,8,2,7,"8740,0",1985,yes
386,330,28,No,desconocido,950,desconocido,13.4,bachillerato,desconocido,1,female,93,3,3,manufacturing_director,2,desconocido,6967,8039,0,desconocido,17,3,2,3,16,3,2,9,1,7,,1995,yes
387,331,43,No,travel_frequently,1082,desconocido,27.0,bachillerato,life_sciences,3,female,83,3,3,manufacturing_director,1,married,6966,11535,8,No,11,3,3,1,18,1,3,8,0,1,,1980,no
388,332,39,Yes,travel_frequently,203,research_development,2.0,bachillerato,life_sciences,1,male,84,3,4,healthcare_representative,4,desconocido,7405,13547,7,No,11,3,4,3,21,4,3,18,11,5,,1984,no
389,333,40,No,travel_rarely,1308,desconocido,14.0,bachillerato,desconocido,3,male,44,2,5,research_director,3,desconocido,5053,17544,1,No,14,3,1,0,7,2,2,20,4,9,,1983,yes
390,334,29,No,travel_rarely,718,desconocido,8.0,eso,medical,2,male,79,2,2,manufacturing_director,4,married,5927,17689,1,desconocido,15,3,3,1,10,2,2,10,1,2,,1994,yes
391,335,40,No,desconocido,593,desconocido,13.0,universidad,desconocido,2,female,88,3,3,research_director,3,desconocido,13499,13782,9,No,17,3,3,0,20,3,2,18,2,13,"13499,0",1983,no
392,336,26,No,travel_rarely,1384,desconocido,3.0,universidad,desconocido,1,male,82,4,1,laboratory_technician,4,desconocido,6174,13421,1,desconocido,22,4,2,1,8,2,3,8,0,7,,1997,yes
393,337,35,No,travel_rarely,819,desconocido,2.0,bachillerato,desconocido,3,male,44,2,3,manufacturing_director,2,divorced,7923,19588,2,No,18,3,2,1,15,2,4,7,6,4,,1988,yes
394,338,53,No,desconocido,1223,research_development,7.0,fp,medical,4,female,50,3,5,manager,3,divorced,6282,18640,3,No,18,3,2,1,26,6,3,7,4,7,,1970,no
395,339,35,No,desconocido,1361,desconocido,17.0,universidad,life_sciences,3,male,94,3,2,sales_executive,1,desconocido,10477,21026,3,desconocido,15,3,4,3,15,2,3,7,1,7,,1988,yes
396,340,33,No,desconocido,1146,desconocido,25.0,bachillerato,medical,2,female,74,3,2,sales_executive,3,desconocido,7091,4905,1,No,12,3,1,1,20,3,2,10,0,1,,1990,yes
397,341,36,No,desconocido,869,research_development,6.0,universidad,life_sciences,3,male,60,1,1,laboratory_technician,3,divorced,8240,6865,1,No,14,3,3,1,18,4,3,7,1,7,,1987,yes
398,342,30,No,travel_rarely,853,desconocido,7.0,universidad,life_sciences,3,male,49,3,2,laboratory_technician,3,divorced,3491,11309,1,desconocido,13,3,1,3,14,4,2,10,8,9,"3491,0",1993,yes
399,343,60,No,desconocido,949,desconocido,8.4,universidad,desconocido,2,male,52,4,2,sales_executive,4,divorced,5220,10893,0,desconocido,18,3,2,1,12,3,3,11,1,9,"5220,0",1963,yes
400,344,32,No,desconocido,1316,desconocido,2.0,fp,life_sciences,4,female,38,3,2,research_scientist,3,single,6471,2338,4,Yes,14,3,4,0,10,2,3,8,0,7,,1991,no
401,345,36,No,desconocido,363,desconocido,1.0,bachillerato,technical_degree,3,female,72,1,3,manufacturing_director,1,divorced,10252,4235,2,Yes,21,4,3,1,17,2,3,7,7,7,"10252,0",1987,yes
402,346,27,No,travel_rarely,1103,desconocido,14.0,bachillerato,desconocido,1,male,42,3,1,research_scientist,1,desconocido,3443,14377,1,desconocido,14,3,4,2,13,3,2,9,6,8,,1996,yes
403,347,43,No,desconocido,920,research_development,3.0,bachillerato,life_sciences,3,male,96,1,5,research_director,4,desconocido,19740,18625,3,No,14,3,2,1,19,2,3,8,0,7,"19740,0",1980,yes
404,348,29,No,travel_rarely,694,desconocido,1.0,bachillerato,desconocido,4,female,58,2,4,research_director,4,divorced,4523,3423,3,No,14,3,2,2,9,2,2,7,1,7,,1994,yes
405,349,59,No,desconocido,1429,desconocido,5.0,universidad,desconocido,2,male,67,3,3,manufacturing_director,4,single,7842,20002,6,No,12,3,4,0,18,6,2,9,5,4,,1964,no
406,350,43,No,travel_rarely,531,desconocido,4.0,universidad,marketing,4,female,56,2,3,sales_executive,4,single,8063,20364,3,No,14,3,4,0,23,3,4,21,15,17,,1980,yes
407,351,44,Yes,travel_rarely,621,desconocido,15.0,bachillerato,medical,1,female,73,3,3,healthcare_representative,4,married,6524,14075,1,desconocido,11,3,4,1,19,2,3,10,0,5,,1979,yes
408,352,29,Yes,desconocido,806,research_development,7.0,bachillerato,technical_degree,2,female,39,3,1,laboratory_technician,3,divorced,5835,17285,3,Yes,13,3,1,2,10,2,3,7,7,7,,1994,yes
409,353,32,No,travel_rarely,604,desconocido,8.0,bachillerato,desconocido,3,male,56,4,2,sales_executive,4,married,6209,11693,1,desconocido,15,3,3,2,14,4,4,10,0,8,"6209,0",1991,no
410,354,36,No,travel_rarely,325,desconocido,10.0,universidad,technical_degree,4,female,63,3,3,healthcare_representative,3,married,7094,5747,3,No,12,3,1,0,14,0,3,7,1,7,"7094,0",1987,yes
411,355,52,Yes,desconocido,1030,sales,5.0,bachillerato,desconocido,2,male,64,3,3,sales_executive,2,single,9177,21534,9,Yes,19,3,3,0,19,2,2,8,7,7,,1971,yes
412,356,39,No,travel_rarely,524,desconocido,10.0,fp,desconocido,1,male,32,3,2,manufacturing_director,3,single,4534,13352,0,desconocido,11,3,1,0,7,6,1,8,1,7,"4534,0",1984,yes
413,357,34,No,desconocido,943,desconocido,9.0,bachillerato,desconocido,4,male,86,3,3,healthcare_representative,4,desconocido,8500,5494,0,desconocido,11,3,4,1,10,0,2,9,1,6,"8500,0",1989,yes
414,358,38,No,desconocido,1009,desconocido,2.0,fp,life_sciences,2,female,31,3,2,sales_executive,1,desconocido,5785,19461,3,desconocido,15,3,4,1,11,3,3,7,1,7,,1985,yes
415,359,36,No,travel_frequently,607,sales,13.6,bachillerato,marketing,1,female,83,4,2,sales_executive,1,married,4639,2261,2,No,16,3,4,1,12,2,2,15,6,13,"4639,0",1987,yes
416,360,35,No,desconocido,817,desconocido,1.0,bachillerato,desconocido,4,female,60,2,2,laboratory_technician,4,desconocido,5363,10846,0,No,12,3,2,1,10,0,3,9,0,0,"5363,0",1988,no
417,361,55,Yes,desconocido,684,desconocido,13.0,universidad,desconocido,1,male,85,4,4,sales_executive,3,desconocido,3842,9277,6,desconocido,17,3,3,0,6,2,2,19,3,8,,1968,yes
418,362,34,No,desconocido,788,desconocido,29.0,bachillerato,desconocido,2,male,86,3,2,laboratory_technician,3,desconocido,6673,17491,4,desconocido,13,3,1,2,10,1,3,8,7,7,,1989,no
419,363,43,No,desconocido,930,desconocido,6.0,bachillerato,medical,1,female,73,2,2,research_scientist,3,single,4081,20003,1,Yes,14,3,1,0,20,3,1,20,1,8,"4081,0",1980,no
420,364,42,No,travel_rarely,1147,desconocido,10.0,bachillerato,human_resources,3,female,31,3,4,manager,1,married,5578,16616,0,desconocido,14,3,3,1,21,5,3,20,0,9,,1981,no
421,365,26,No,travel_rarely,652,desconocido,7.0,bachillerato,desconocido,3,male,100,4,1,laboratory_technician,1,single,3578,23577,0,No,12,3,4,0,8,2,3,7,0,7,"3578,0",1997,yes
422,366,29,Yes,desconocido,337,desconocido,14.0,eso,other,3,female,84,3,3,healthcare_representative,4,single,9317,22930,0,Yes,12,3,1,0,18,1,3,8,7,7,,1994,yes
423,367,54,No,desconocido,971,research_development,1.0,bachillerato,desconocido,4,female,54,3,4,research_director,4,desconocido,17328,5652,6,desconocido,19,3,4,0,29,3,2,20,12,7,"17328,0",1969,no
424,368,55,No,desconocido,1136,desconocido,1.0,universidad,desconocido,2,male,81,4,4,research_director,4,divorced,7449,12414,2,No,13,3,4,2,31,4,4,7,0,0,,1968,yes
425,369,40,No,non_travel,663,desconocido,9.0,universidad,other,3,male,81,3,2,laboratory_technician,3,desconocido,5927,23099,3,No,11,3,3,2,11,2,3,8,0,7,,1983,yes
426,370,31,No,desconocido,326,desconocido,8.0,fp,desconocido,1,male,31,3,3,sales_executive,4,divorced,10793,8386,1,desconocido,18,3,1,1,13,5,3,13,9,9,"10793,0",1992,yes
427,371,46,Yes,desconocido,377,desconocido,9.0,bachillerato,marketing,1,male,52,3,3,sales_executive,4,divorced,4058,15986,4,No,11,3,1,1,28,1,4,7,4,3,,1977,yes
428,372,45,No,travel_rarely,1038,desconocido,20.0,bachillerato,medical,2,male,95,1,3,healthcare_representative,1,desconocido,10851,19863,2,Yes,18,3,2,1,19,2,3,7,0,7,"10851,0",1978,no
429,373,49,No,travel_rarely,1490,desconocido,7.0,universidad,life_sciences,3,male,35,3,3,healthcare_representative,2,divorced,10466,20948,3,desconocido,14,3,2,2,29,3,3,8,0,7,"10466,0",1974,no
430,374,29,No,travel_rarely,1246,desconocido,19.0,bachillerato,desconocido,3,male,77,2,2,sales_executive,3,desconocido,4673,23757,1,desconocido,14,3,3,2,10,3,3,10,0,4,,1994,yes
431,375,29,Yes,desconocido,224,desconocido,1.0,universidad,technical_degree,1,male,100,2,1,research_scientist,1,single,2362,7568,6,No,13,3,3,0,14,2,1,9,0,7,"2362,0",1994,yes
432,376,29,No,desconocido,441,desconocido,8.0,eso,other,3,female,39,1,2,healthcare_representative,1,desconocido,5835,7288,3,No,13,3,3,1,9,3,3,7,0,7,,1994,yes
433,377,40,No,travel_rarely,898,human_resources,6.0,fp,desconocido,3,male,38,3,4,manager,4,single,7369,17381,1,Yes,21,4,4,0,21,2,3,21,7,7,,1983,yes
434,378,48,No,desconocido,812,sales,16.0,universidad,life_sciences,3,female,96,3,2,sales_executive,3,divorced,6439,13693,8,No,14,3,3,1,18,2,2,8,7,7,"6439,0",1975,yes
435,379,53,Yes,desconocido,607,desconocido,2.0,doctorado,desconocido,3,female,78,2,3,manufacturing_director,4,married,5683,14618,0,desconocido,16,3,2,1,9,4,3,33,1,9,,1970,yes
436,380,44,No,desconocido,1313,desconocido,7.0,bachillerato,medical,2,female,31,3,5,research_director,4,desconocido,7456,3549,0,Yes,14,3,4,1,11,4,2,22,1,10,,1979,no
437,381,45,No,desconocido,1015,desconocido,5.0,doctorado,desconocido,3,female,50,1,2,laboratory_technician,1,desconocido,5769,23447,1,desconocido,14,3,1,0,10,3,3,10,1,4,"5769,0",1978,no
438,382,45,No,non_travel,638,desconocido,26.0,bachillerato,marketing,1,male,52,2,2,sales_executive,1,desconocido,4385,24162,1,desconocido,15,3,1,1,10,2,2,10,4,5,"4385,0",1978,no
439,383,34,No,travel_frequently,426,desconocido,10.0,universidad,desconocido,3,male,42,4,2,manufacturing_director,4,desconocido,6341,17000,1,desconocido,13,3,1,1,9,3,2,9,7,2,,1989,yes
440,384,39,No,desconocido,1387,research_development,10.0,doctorado,medical,2,male,76,3,2,manufacturing_director,1,desconocido,7072,3835,2,desconocido,13,3,4,3,15,3,3,7,7,7,,1984,no
441,385,27,No,desconocido,1302,research_development,11.8,bachillerato,desconocido,3,male,61,2,1,laboratory_technician,1,divorced,4066,16290,1,No,11,3,1,2,7,3,3,7,0,7,"4066,0",1996,yes
442,386,45,No,travel_rarely,1329,desconocido,2.0,fp,desconocido,4,female,59,2,2,manufacturing_director,4,divorced,4253,5388,1,desconocido,19,3,1,2,10,3,3,10,3,9,,1978,yes
443,387,44,No,desconocido,602,desconocido,1.0,doctorado,desconocido,1,male,37,3,2,human_resources,4,married,6471,10503,4,Yes,11,3,3,0,14,3,3,10,0,2,,1979,yes
444,388,25,No,desconocido,772,desconocido,2.0,eso,life_sciences,4,male,77,4,2,manufacturing_director,3,divorced,5206,4973,1,desconocido,17,3,3,2,7,6,3,7,0,7,"5206,0",1998,no
445,389,49,No,desconocido,809,desconocido,1.0,bachillerato,desconocido,3,male,36,3,4,manager,3,single,7369,22384,4,desconocido,14,3,1,0,23,2,3,8,0,0,,1974,yes
446,390,48,Yes,travel_frequently,917,desconocido,7.0,fp,desconocido,4,female,95,3,1,sales_representative,3,desconocido,2655,11740,2,desconocido,11,3,3,2,19,3,3,9,7,7,"2655,0",1975,no
447,391,26,No,desconocido,786,desconocido,7.0,bachillerato,medical,4,male,76,3,1,laboratory_technician,4,desconocido,2570,11925,1,No,20,4,3,0,7,5,3,7,5,7,"2570,0",1997,yes
448,392,44,No,travel_rarely,921,desconocido,2.0,bachillerato,life_sciences,3,female,96,4,3,healthcare_representative,4,desconocido,11733,14810,1,desconocido,19,3,2,1,18,2,3,8,6,7,,1979,yes
449,393,36,No,desconocido,530,desconocido,2.0,universidad,desconocido,3,female,51,3,2,sales_representative,4,single,4502,7439,3,desconocido,15,3,3,0,17,2,2,13,6,7,"4502,0",1987,yes
450,394,46,No,desconocido,717,research_development,13.0,universidad,desconocido,3,male,34,3,2,healthcare_representative,2,single,5854,9697,6,No,14,3,4,0,19,3,3,10,0,9,,1977,yes
451,395,35,No,desconocido,1370,desconocido,27.0,universidad,life_sciences,4,male,49,3,2,manufacturing_director,3,married,8826,5151,2,desconocido,16,3,2,1,17,3,3,7,0,7,,1988,yes
452,396,30,No,travel_frequently,1312,desconocido,2.0,universidad,desconocido,4,female,78,2,1,research_scientist,1,desconocido,4968,26427,0,desconocido,16,3,4,0,10,2,2,9,0,7,"4968,0",1993,no
453,397,30,No,desconocido,979,desconocido,15.0,fp,marketing,3,male,94,2,3,sales_executive,1,desconocido,9765,3088,2,No,11,3,1,1,21,2,3,7,1,7,,1993,yes
454,398,33,No,non_travel,1283,desconocido,2.0,bachillerato,marketing,4,female,62,3,2,sales_executive,2,desconocido,5147,10697,8,No,15,3,4,0,13,2,2,11,1,7,"5147,0",1990,yes
455,399,32,No,desconocido,953,desconocido,5.0,universidad,desconocido,2,male,65,3,1,research_scientist,2,single,2718,17674,2,No,14,3,2,0,12,3,3,7,0,7,"2718,0",1991,yes
457,400,31,No,travel_rarely,196,desconocido,29.0,universidad,marketing,1,female,91,2,2,sales_executive,4,desconocido,5468,13402,1,desconocido,14,3,1,2,19,3,3,12,5,7,"5468,0",1992,yes
462,401,45,No,non_travel,589,desconocido,2.0,universidad,desconocido,3,female,67,3,2,sales_executive,3,married,5154,19665,4,desconocido,22,4,2,2,10,3,4,8,5,7,"5154,0",1978,no
465,402,40,No,travel_rarely,1137,research_development,1.0,universidad,desconocido,1,male,98,3,4,manager,1,desconocido,5537,18991,2,desconocido,11,3,1,1,22,3,3,19,11,16,,1983,yes
468,403,26,No,travel_frequently,1096,desconocido,6.0,bachillerato,other,3,male,61,4,1,laboratory_technician,4,married,5874,7102,0,No,18,3,1,1,8,3,3,7,7,7,,1997,yes
470,404,47,No,desconocido,1169,desconocido,14.0,universidad,desconocido,3,male,64,3,2,research_scientist,2,married,6681,2125,8,desconocido,18,3,3,1,15,4,4,8,1,7,,1976,no
471,405,34,No,travel_rarely,1239,desconocido,13.0,universidad,medical,4,male,39,3,3,sales_executive,3,divorced,4158,22914,1,No,18,3,3,1,9,2,2,8,1,1,,1989,yes
472,406,26,No,desconocido,157,research_development,1.0,bachillerato,medical,3,male,95,3,1,laboratory_technician,1,single,4626,20006,0,No,13,3,4,0,8,6,2,7,7,6,,1997,yes
473,407,27,No,travel_rarely,954,desconocido,9.0,bachillerato,desconocido,4,male,44,3,2,sales_executive,4,desconocido,6341,5099,1,desconocido,14,3,1,0,7,5,2,7,0,7,,1996,no
474,408,31,Yes,travel_frequently,754,sales,26.0,universidad,marketing,1,male,63,3,2,sales_executive,4,desconocido,3530,21075,1,Yes,11,3,3,0,10,4,3,10,0,8,,1992,yes
475,409,33,No,travel_frequently,1303,desconocido,7.0,fp,life_sciences,4,male,68,3,2,healthcare_representative,3,divorced,3598,18079,1,desconocido,20,3,3,3,9,2,3,9,2,8,,1990,yes
476,410,31,No,desconocido,697,desconocido,10.0,bachillerato,desconocido,3,female,40,3,3,research_director,3,married,6280,26862,4,No,20,4,3,1,13,2,4,11,4,8,,1992,yes
477,411,35,No,desconocido,1395,desconocido,9.0,universidad,medical,2,male,48,3,2,research_scientist,3,desconocido,5098,18698,1,No,19,3,2,0,10,5,3,10,0,8,"5098,0",1988,yes
478,412,33,No,travel_rarely,501,desconocido,15.0,fp,desconocido,2,female,95,3,2,healthcare_representative,4,married,10384,21653,0,Yes,13,3,1,1,21,6,3,9,8,1,,1990,yes
479,413,39,No,travel_rarely,116,desconocido,24.0,eso,life_sciences,1,male,52,3,2,research_scientist,4,single,3369,5340,7,No,13,3,1,0,14,2,3,7,1,7,,1984,no
480,414,36,No,travel_rarely,557,desconocido,16.0,bachillerato,desconocido,4,female,94,2,3,sales_executive,4,married,9505,12695,0,No,19,3,3,2,10,2,3,9,3,4,,1987,yes
481,415,41,No,travel_rarely,582,desconocido,28.0,universidad,life_sciences,1,female,60,2,4,manufacturing_director,2,married,13570,5640,0,No,23,3,3,1,21,3,3,20,0,10,"13570,0",1982,yes
482,416,34,No,desconocido,704,sales,28.0,bachillerato,marketing,4,female,95,2,2,sales_executive,3,married,6712,8978,1,No,21,4,4,2,8,2,3,8,1,7,"6712,0",1989,no
483,417,38,No,travel_rarely,681,desconocido,10.0,fp,desconocido,1,female,100,3,2,sales_executive,4,married,9869,5982,1,No,11,3,3,1,10,1,3,10,1,9,,1985,yes
484,418,39,No,travel_rarely,613,desconocido,6.0,eso,desconocido,4,male,42,2,3,healthcare_representative,1,desconocido,9991,21457,4,desconocido,15,3,1,1,16,5,3,7,1,7,"9991,0",1984,yes
485,419,34,No,travel_rarely,419,desconocido,7.0,universidad,desconocido,1,female,53,3,3,research_director,2,single,4088,21293,0,No,11,3,3,0,12,4,3,12,2,11,,1989,no
486,420,44,No,travel_rarely,477,desconocido,7.0,universidad,medical,1,female,42,2,3,healthcare_representative,4,married,10248,2094,3,desconocido,14,3,4,1,24,4,3,22,5,17,"10248,0",1979,yes
