,age,attrition,business_travel,department,education,education_field,employee_number,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,date_birth,remote_work,hourly_rate,daily_rate,distance_from_home,monthly_income,total_working_years
312,29,No,travel_rarely,desconocido,1,desconocido,85,4,female,2,2,sales_executive,2,divorced,11866,1,Yes,14,3.0,1,2,2,3,7,1,7,1994,no,39,144.0,10.0,5835.2,7
313,37,No,desconocido,desconocido,3,medical,86,3,male,4,2,research_scientist,1,divorced,17001,4,desconocido,13,3.0,1,2,2,3,7,6,7,1986,no,51,1319.0,6.0,5974.0,13
318,37,No,desconocido,desconocido,3,desconocido,87,4,female,3,1,laboratory_technician,1,desconocido,26914,1,No,12,3.0,3,1,2,2,18,12,17,1986,no,95,1107.0,14.0,3034.0,13
319,56,No,desconocido,desconocido,3,life_sciences,88,3,female,4,4,sales_executive,1,married,18256,9,No,11,3.0,4,3,0,2,7,7,7,1967,yes,86,906.0,6.0,13212.0,36
321,46,No,desconocido,desconocido,3,medical,89,3,female,3,2,manufacturing_director,3,desconocido,26314,2,No,14,3.0,3,1,5,2,10,0,8,1977,no,87,1485.0,18.0,10123.8,19
322,30,No,non_travel,desconocido,3,desconocido,90,3,female,3,1,laboratory_technician,4,single,7181,0,desconocido,14,3.0,3,0,2,2,11,6,7,1993,no,49,1116.0,2.0,6958.0,12
325,45,No,travel_rarely,desconocido,3,other,91,4,male,3,2,sales_executive,2,desconocido,16177,0,No,19,3.0,2,1,3,4,8,3,7,1978,yes,61,561.0,2.0,4805.0,8
332,37,No,travel_rarely,desconocido,3,other,92,3,male,3,3,manufacturing_director,3,married,9606,1,No,15,3.0,3,1,2,3,10,7,8,1986,yes,36,482.0,3.0,9434.0,7
333,54,No,desconocido,desconocido,4,desconocido,93,3,male,3,3,human_resources,2,desconocido,6729,2,desconocido,15,3.0,3,1,1,4,9,7,1,1969,yes,88,397.0,19.0,10123.8,16
334,38,No,travel_rarely, sales ,4,marketing,94,4,female,2,2,sales_executive,4,desconocido,7791,0,No,20,3.0,1,0,2,3,7,0,5,1985,yes,46,243.0,7.0,5355.6,9
341,32,No,travel_rarely,desconocido,2,life_sciences,95,3,female,3,3,research_director,4,single,19373,3,desconocido,15,3.0,4,0,6,3,7,7,7,1991,no,39,1018.0,3.0,11159.0,10
345,28,Yes,desconocido, research_development ,2,desconocido,96,3,female,1,1,research_scientist,2,desconocido,3872,7,Yes,13,3.0,4,0,4,3,7,3,7,1995,yes,67,654.0,3.4,2216.0,10
353,40,No,desconocido,desconocido,2,medical,97,1,female,4,2,healthcare_representative,2,desconocido,9931,1,No,24,4.0,4,1,2,3,8,3,7,1983,yes,38,791.0,9.6,4244.0,8
356,29,No,travel_rarely,desconocido,2,desconocido,98,3,male,4,1,research_scientist,3,married,23779,1,desconocido,24,4.0,3,1,3,3,10,0,7,1994,yes,81,628.6,23.0,2700.0,10
358,28,No,desconocido, sales ,4,desconocido,99,2,female,3,2,sales_executive,2,desconocido,3698,1,desconocido,20,4.0,1,0,2,3,8,7,5,1995,yes,81,760.0,2.0,5830.2,8
359,26,Yes,desconocido,desconocido,2,medical,100,3,female,2,1,research_scientist,3,married,20898,1,desconocido,14,3.0,1,1,2,3,8,1,7,1997,yes,88,779.4,5.0,2366.0,8
364,31,No,desconocido,desconocido,3,medical,101,4,female,3,2,healthcare_representative,4,desconocido,17369,0,desconocido,11,3.0,3,2,2,1,9,8,5,1992,no,41,616.0,12.0,5665.2,10
368,39,No,travel_rarely,desconocido,5,desconocido,102,1,male,4,3,sales_executive,3,single,2560,0,No,18,3.0,4,0,3,3,8,0,7,1984,no,41,903.0,2.0,5771.6,9
370,46,No,desconocido,desconocido,2,medical,103,4,male,3,3,manufacturing_director,3,desconocido,24208,6,desconocido,13,3.0,2,1,3,3,8,0,7,1977,no,67,566.0,7.0,10845.0,8
371,54,No,travel_rarely,desconocido,3,technical_degree,1013,3,female,3,3,manufacturing_director,3,desconocido,13943,8,desconocido,11,3.0,3,1,2,3,10,0,8,1969,yes,56,1441.0,17.0,7236.4,22
372,30,No,travel_rarely,desconocido,2,desconocido,1015,2,female,4,3,research_director,1,desconocido,17802,0,Yes,12,3.0,3,3,4,2,8,1,7,1993,yes,73,153.0,8.0,7757.0,13
373,26,No,desconocido,desconocido,2,medical,1018,4,male,4,2,manufacturing_director,4,married,3334,1,desconocido,12,3.0,2,0,2,3,8,1,3,1997,no,32,1066.0,2.0,5472.0,8
374,55,No,travel_frequently,desconocido,4,medical,1034,3,male,3,2,healthcare_representative,2,married,12992,3,desconocido,14,3.0,4,2,3,3,8,6,7,1968,yes,62,135.0,18.0,6385.0,7
375,50,No,non_travel, sales ,3,life_sciences,104,4,female,3,2,sales_executive,3,married,24920,0,desconocido,12,3.0,1,1,3,3,18,0,13,1973,yes,95,145.0,1.0,6347.0,13
376,32,No,non_travel,desconocido,4,desconocido,1046,4,female,3,1,laboratory_technician,3,single,11135,9,No,12,3.0,2,0,2,3,8,7,7,1991,yes,69,1109.0,29.0,2689.6,10
377,53,No,travel_frequently,desconocido,3,marketing,1050,3,female,2,3,sales_executive,2,desconocido,23537,2,desconocido,12,3.0,1,1,2,3,15,6,12,1970,yes,38,124.0,2.0,7525.0,30
378,40,No,travel_rarely,desconocido,3,desconocido,105,3,male,3,2,sales_executive,1,married,22217,1,desconocido,14,3.0,2,1,3,2,7,7,5,1983,no,74,300.0,26.0,2689.6,8
379,55,No,desconocido,desconocido,1,desconocido,1074,3,male,2,4,manager,1,single,17323,7,No,15,3.0,2,0,3,4,9,6,2,1968,yes,40,444.0,2.0,9818.2,17
380,28,Yes,non_travel,desconocido,2,desconocido,1082,2,male,2,3,healthcare_representative,1,single,12355,1,No,12,3.0,1,0,2,2,10,1,9,1995,no,72,1366.0,24.0,3210.4,10
381,28,No,travel_rarely,desconocido,3,other,1097,3,female,3,2,research_scientist,3,single,7909,3,No,13,3.0,4,0,4,4,8,1,7,1995,yes,59,857.0,10.0,3660.0,7
382,35,Yes,desconocido,desconocido,3,technical_degree,1100,4,male,3,3,sales_executive,1,desconocido,10333,0,desconocido,22,4.0,1,0,2,3,8,4,7,1988,yes,86,1204.0,4.0,2911.4,9
383,33,Yes,travel_frequently, research_development ,4,medical,1101,3,female,2,2,research_scientist,3,single,3129,1,No,22,4.0,2,0,4,3,13,3,8,1990,yes,54,827.0,6.2,4133.6,14
384,25,Yes,desconocido, research_development ,1,technical_degree,1106,4,male,3,1,laboratory_technician,4,married,4605,1,desconocido,15,3.0,2,1,3,4,7,5,6,1998,yes,32,1219.0,4.0,4386.0,7
385,38,No,desconocido, sales ,4,desconocido,1119,3,male,2,3,sales_executive,3,desconocido,5569,0,Yes,14,3.0,2,2,2,3,8,2,7,1985,yes,70,770.0,10.0,8740.0,9
386,28,No,desconocido,desconocido,3,desconocido,106,1,female,3,3,manufacturing_director,2,desconocido,8039,0,desconocido,17,3.0,2,3,3,2,9,1,7,1995,yes,93,950.0,13.8,10993.2,13
387,43,No,travel_frequently,desconocido,3,life_sciences,1126,3,female,3,3,manufacturing_director,1,married,11535,8,No,11,3.0,3,1,1,3,8,0,1,1980,no,83,1082.0,27.0,6966.4,18
388,39,Yes,travel_frequently, research_development ,3,life_sciences,107,1,male,3,4,healthcare_representative,4,desconocido,13547,7,No,11,3.0,4,3,4,3,18,11,5,1984,no,84,203.0,2.0,7405.4,21
389,40,No,travel_rarely,desconocido,3,desconocido,1128,3,male,2,5,research_director,3,desconocido,17544,1,No,14,3.0,1,0,2,3,20,4,9,1983,yes,44,1308.0,14.0,5053.4,7
390,29,No,travel_rarely,desconocido,1,medical,108,2,male,2,2,manufacturing_director,4,married,17689,1,desconocido,15,3.0,3,1,2,2,10,1,2,1994,yes,79,718.0,8.0,5927.6,10
391,40,No,desconocido,desconocido,4,desconocido,109,2,female,3,3,research_director,3,desconocido,13782,9,No,17,3.0,3,0,3,2,18,2,13,1983,no,88,593.0,13.2,13499.0,20
392,26,No,travel_rarely,desconocido,4,desconocido,1177,1,male,4,1,laboratory_technician,4,desconocido,13421,1,desconocido,22,4.0,2,1,2,3,8,0,7,1997,yes,82,1384.0,3.0,6174.4,8
393,35,No,travel_rarely,desconocido,3,desconocido,1182,3,male,2,3,manufacturing_director,2,divorced,19588,2,No,18,3.0,2,1,2,4,7,6,4,1988,yes,44,819.0,2.0,7923.2,15
394,53,No,desconocido, research_development ,2,medical,1201,4,female,3,5,manager,3,divorced,18640,3,No,18,3.0,2,1,6,3,7,4,7,1970,no,50,1223.0,7.0,9661.6,26
395,35,No,desconocido,desconocido,4,life_sciences,1218,3,male,3,2,sales_executive,1,desconocido,21026,3,desconocido,15,3.0,4,3,2,3,7,1,7,1988,yes,94,1361.0,17.0,9728.0,15
396,33,No,desconocido,desconocido,3,medical,1220,2,female,3,2,sales_executive,3,desconocido,4905,1,No,12,3.0,1,1,3,2,10,0,1,1990,yes,58,1146.0,25.0,2766.6,5
397,36,No,desconocido, research_development ,4,life_sciences,110,3,male,1,1,laboratory_technician,3,divorced,6865,1,No,14,3.0,3,1,4,3,7,1,7,1987,yes,60,749.2,6.0,9344.2,17
398,30,No,travel_rarely,desconocido,4,life_sciences,1224,3,male,3,2,laboratory_technician,3,divorced,11309,1,desconocido,13,3.0,1,3,4,2,10,8,9,1993,yes,49,853.0,7.0,3491.0,7
399,60,No,desconocido,desconocido,4,desconocido,111,2,male,4,2,sales_executive,4,divorced,10893,0,desconocido,18,3.0,2,1,3,3,11,1,9,1963,yes,52,312.4,8.8,5220.0,12
400,32,No,desconocido,desconocido,2,life_sciences,1235,4,female,3,2,research_scientist,3,single,2338,4,Yes,14,3.0,4,0,2,3,8,0,7,1991,no,38,1316.0,2.0,6471.2,10
401,36,No,desconocido,desconocido,3,technical_degree,1237,3,female,1,3,manufacturing_director,1,divorced,4235,2,Yes,21,4.0,3,1,2,3,7,7,7,1987,yes,70,363.0,1.0,10252.0,17
402,27,No,travel_rarely,desconocido,3,desconocido,112,1,male,3,1,research_scientist,1,desconocido,14377,1,desconocido,14,3.0,4,2,3,2,9,6,8,1996,yes,42,1103.0,14.0,3443.4,7
403,43,No,desconocido, research_development ,3,life_sciences,1255,3,male,1,5,research_director,4,desconocido,18625,3,No,14,3.0,2,1,2,3,8,0,7,1980,yes,96,920.0,3.0,19740.0,12
404,29,No,travel_rarely,desconocido,3,desconocido,1264,4,female,2,4,research_director,4,divorced,3423,3,No,14,3.0,2,2,2,2,7,1,7,1994,yes,62,694.0,1.0,4349.2,9
405,59,No,desconocido,desconocido,4,desconocido,1283,2,male,3,3,manufacturing_director,4,single,20002,6,No,12,3.0,4,0,6,2,9,5,4,1964,no,67,1429.0,5.8,7755.2,15
406,43,No,travel_rarely,desconocido,4,marketing,1293,4,female,2,3,sales_executive,4,single,20364,3,No,14,3.0,4,0,3,4,21,15,17,1980,yes,56,531.0,4.0,8063.2,23
407,44,Yes,travel_rarely,desconocido,3,medical,1295,1,female,3,3,healthcare_representative,4,married,14075,1,desconocido,11,3.0,4,1,2,3,10,0,5,1979,yes,73,621.0,15.0,6524.8,13
408,29,Yes,desconocido, research_development ,3,technical_degree,113,2,female,3,1,laboratory_technician,3,divorced,17285,3,Yes,13,3.0,1,2,2,3,7,7,7,1994,yes,39,806.0,7.0,6424.0,10
409,32,No,travel_rarely,desconocido,3,desconocido,114,3,male,4,2,sales_executive,4,married,11693,1,desconocido,15,3.0,3,2,4,4,10,0,8,1991,no,56,604.0,8.0,6209.0,10
410,36,No,travel_rarely,desconocido,4,technical_degree,115,4,female,3,3,healthcare_representative,3,married,5747,3,No,12,3.0,1,0,0,3,7,1,7,1987,yes,63,325.0,10.0,7094.0,8
411,52,Yes,desconocido, sales ,3,desconocido,116,2,male,3,3,sales_executive,2,single,21534,9,Yes,19,3.0,3,0,2,2,8,7,7,1971,yes,64,1030.0,5.0,9177.8,16
412,39,No,travel_rarely,desconocido,2,desconocido,1322,1,male,3,2,manufacturing_director,3,single,13352,0,desconocido,11,3.0,1,0,6,3,8,1,7,1984,yes,32,524.0,10.0,4534.0,7
413,34,No,desconocido,desconocido,3,desconocido,1344,4,male,3,3,healthcare_representative,4,desconocido,5494,0,desconocido,11,3.0,4,1,0,2,9,1,6,1989,yes,86,943.0,9.0,8500.0,10
414,38,No,desconocido,desconocido,2,life_sciences,1355,2,female,3,2,sales_executive,1,desconocido,19461,3,desconocido,15,3.0,4,1,3,3,7,1,7,1985,yes,31,1009.0,2.0,5785.4,11
415,36,No,travel_frequently, sales ,3,marketing,1362,1,female,4,2,sales_executive,1,married,2261,2,No,16,3.0,4,1,2,2,15,6,13,1987,yes,83,607.0,15.2,4639.0,7
416,35,No,desconocido,desconocido,3,desconocido,1369,4,female,2,2,laboratory_technician,4,desconocido,10846,0,No,12,3.0,2,1,0,3,9,0,0,1988,no,60,817.0,1.0,5363.0,10
417,55,Yes,desconocido,desconocido,4,desconocido,117,1,male,4,4,sales_executive,3,desconocido,9277,6,desconocido,17,3.0,3,0,2,2,19,3,8,1968,yes,85,1071.6,13.0,4345.6,5
418,34,No,desconocido,desconocido,3,desconocido,1377,2,male,3,2,laboratory_technician,3,desconocido,17491,4,desconocido,13,3.0,1,2,1,3,8,7,7,1989,no,86,773.2,29.0,6673.4,10
419,43,No,desconocido,desconocido,3,medical,1402,1,female,2,2,research_scientist,3,single,20003,1,Yes,14,3.0,1,0,3,1,20,1,8,1980,no,73,930.0,6.0,4081.0,20
420,42,No,travel_rarely,desconocido,3,human_resources,1408,3,female,3,4,manager,1,married,16616,0,desconocido,14,3.0,3,1,5,3,20,0,9,1981,no,31,1147.0,10.0,5517.6,21
421,26,No,travel_rarely,desconocido,3,desconocido,1417,3,male,4,1,laboratory_technician,1,single,23577,0,No,12,3.0,4,0,2,3,7,0,7,1997,yes,100,652.0,7.0,3578.0,8
422,29,Yes,desconocido,desconocido,1,other,1421,3,female,3,3,healthcare_representative,4,single,22930,0,Yes,12,3.0,1,0,1,3,8,7,7,1994,yes,84,337.0,14.0,9317.4,12
423,54,No,desconocido, research_development ,3,desconocido,1422,4,female,3,4,research_director,4,desconocido,5652,6,desconocido,19,3.0,4,0,3,2,20,12,7,1969,no,54,971.0,1.0,17328.0,29
424,55,No,desconocido,desconocido,4,desconocido,1424,2,male,4,4,research_director,4,divorced,12414,2,No,13,3.0,4,2,4,4,7,0,0,1968,yes,81,1136.0,1.0,7449.4,31
425,40,No,non_travel,desconocido,4,other,118,3,male,3,2,laboratory_technician,3,desconocido,23099,3,No,11,3.0,3,2,2,3,8,0,7,1983,yes,81,663.0,9.0,5927.6,11
426,31,No,desconocido,desconocido,2,desconocido,119,1,male,3,3,sales_executive,4,divorced,8386,1,desconocido,18,3.0,1,1,5,3,13,9,9,1992,yes,31,326.0,8.0,10793.0,13
427,46,Yes,desconocido,desconocido,3,marketing,1457,1,male,3,3,sales_executive,4,divorced,15986,4,No,11,3.0,1,1,1,4,7,4,3,1977,yes,52,377.0,9.0,4058.2,28
428,45,No,travel_rarely,desconocido,3,medical,1460,2,male,1,3,healthcare_representative,1,desconocido,19863,2,Yes,18,3.0,2,1,2,3,7,0,7,1978,no,95,1038.0,20.0,10851.0,13
429,49,No,travel_rarely,desconocido,4,life_sciences,1484,3,male,3,3,healthcare_representative,2,divorced,20948,3,desconocido,14,3.0,2,2,3,3,8,0,7,1974,no,35,1490.0,7.0,10466.0,29
430,29,No,travel_rarely,desconocido,3,desconocido,1497,3,male,2,2,sales_executive,3,desconocido,23757,1,desconocido,14,3.0,3,2,3,3,10,0,4,1994,yes,77,1246.0,19.0,4673.4,10
431,29,Yes,desconocido,desconocido,4,technical_degree,1522,1,male,2,1,research_scientist,1,single,7568,6,No,13,3.0,3,0,2,1,9,0,7,1994,yes,100,224.0,1.0,2362.0,9
432,29,No,desconocido,desconocido,1,other,1544,3,female,1,2,healthcare_representative,1,desconocido,7288,3,No,13,3.0,3,1,3,3,7,0,7,1994,yes,39,441.0,8.0,5835.2,9
433,40,No,travel_rarely, human_resources ,2,desconocido,120,3,male,3,4,manager,4,single,17381,1,Yes,21,4.0,4,0,2,3,21,7,7,1983,yes,38,898.0,6.0,7369.0,21
434,48,No,desconocido, sales ,4,life_sciences,121,3,female,3,2,sales_executive,3,divorced,13693,8,No,14,3.0,3,1,2,3,8,7,7,1975,yes,96,812.8,16.0,6439.0,18
435,53,Yes,desconocido,desconocido,5,desconocido,1572,3,female,2,3,manufacturing_director,4,married,14618,0,desconocido,16,3.0,2,1,4,3,33,1,9,1970,yes,78,607.0,2.0,4068.8,5
436,44,No,desconocido,desconocido,3,medical,1608,2,female,3,5,research_director,4,desconocido,3549,0,Yes,14,3.0,4,1,4,2,22,1,10,1979,no,31,1313.0,7.0,7456.2,9
437,45,No,desconocido,desconocido,5,desconocido,1611,3,female,1,2,laboratory_technician,1,desconocido,23447,1,desconocido,14,3.0,1,0,3,3,10,1,4,1978,no,50,1015.0,5.0,5769.0,10
438,45,No,non_travel,desconocido,3,marketing,1612,1,male,2,2,sales_executive,1,desconocido,24162,1,desconocido,15,3.0,1,1,2,3,10,4,5,1978,no,52,638.8,26.0,4385.0,10
439,34,No,travel_frequently,desconocido,4,desconocido,1615,3,male,4,2,manufacturing_director,4,desconocido,17000,1,desconocido,13,3.0,1,1,3,3,9,7,2,1989,yes,42,426.0,10.0,6341.0,9
440,39,No,desconocido, research_development ,5,medical,122,2,male,3,2,manufacturing_director,1,desconocido,3835,2,desconocido,13,3.0,4,3,3,3,7,7,7,1984,no,76,1387.0,10.0,7072.6,15
441,27,No,desconocido, research_development ,3,desconocido,1619,3,male,2,1,laboratory_technician,1,divorced,16290,1,No,11,3.0,1,2,3,3,7,0,7,1996,yes,70,1302.0,7.2,4066.0,7
442,45,No,travel_rarely,desconocido,2,desconocido,1635,4,female,2,2,manufacturing_director,4,divorced,5388,1,desconocido,19,3.0,1,2,3,3,10,3,9,1978,yes,59,1329.0,2.0,4253.8,10
443,44,No,desconocido,desconocido,5,desconocido,1642,1,male,3,2,human_resources,4,married,10503,4,Yes,11,3.0,3,0,3,3,10,0,2,1979,yes,37,602.0,1.0,6471.2,14
444,25,No,desconocido,desconocido,1,life_sciences,1653,4,male,4,2,manufacturing_director,3,divorced,4973,1,desconocido,17,3.0,3,2,6,3,7,0,7,1998,no,77,772.0,2.0,5206.0,7
445,49,No,desconocido,desconocido,3,desconocido,123,3,male,3,4,manager,3,single,22384,4,desconocido,14,3.0,1,0,2,3,8,0,0,1974,yes,36,809.0,1.0,7416.2,23
446,48,Yes,travel_frequently,desconocido,2,desconocido,1691,4,female,3,1,sales_representative,3,desconocido,11740,2,desconocido,11,3.0,3,2,3,3,9,7,7,1975,no,95,905.0,7.0,2655.0,19
447,26,No,desconocido,desconocido,3,medical,1693,4,male,3,1,laboratory_technician,4,desconocido,11925,1,No,20,4.0,3,0,5,3,7,5,7,1997,yes,76,786.0,7.0,2570.0,7
448,44,No,travel_rarely,desconocido,3,life_sciences,1703,3,female,4,3,healthcare_representative,4,desconocido,14810,1,desconocido,19,3.0,2,1,2,3,8,6,7,1979,yes,96,921.0,2.0,11733.2,14
449,36,No,desconocido,desconocido,4,desconocido,124,3,female,3,2,sales_representative,4,single,7439,3,desconocido,15,3.0,3,0,2,2,13,6,7,1987,yes,51,530.0,2.0,4502.0,17
450,46,No,desconocido, research_development ,4,desconocido,1727,3,male,3,2,healthcare_representative,2,single,9697,6,No,14,3.0,4,0,3,3,10,0,9,1977,yes,34,717.0,13.0,5317.6,19
451,35,No,desconocido,desconocido,4,life_sciences,1728,4,male,3,2,manufacturing_director,3,married,5151,2,desconocido,16,3.0,2,1,3,3,7,0,7,1988,yes,49,1370.0,27.0,9251.4,17
452,30,No,travel_frequently,desconocido,4,desconocido,1745,4,female,2,1,research_scientist,1,desconocido,26427,0,desconocido,16,3.0,4,0,2,3,9,0,7,1993,no,78,1312.0,2.0,4968.0,10
453,30,No,desconocido,desconocido,2,marketing,1754,3,male,2,3,sales_executive,1,desconocido,3088,2,No,11,3.0,1,1,2,3,7,1,7,1993,yes,94,979.0,15.0,9765.6,13
454,33,No,non_travel,desconocido,3,marketing,1756,4,female,3,2,sales_executive,2,desconocido,10697,8,No,15,3.0,4,0,2,2,11,1,7,1990,yes,62,1283.0,2.0,5147.0,13
455,32,No,desconocido,desconocido,4,desconocido,1764,2,male,3,1,research_scientist,2,single,17674,2,No,14,3.0,2,0,3,3,7,0,7,1991,yes,65,953.0,5.0,2718.0,12
457,31,No,travel_rarely,desconocido,4,marketing,125,1,female,2,2,sales_executive,4,desconocido,13402,1,desconocido,14,3.0,1,2,3,3,12,5,7,1992,yes,91,196.0,29.0,5468.0,15
462,45,No,non_travel,desconocido,4,desconocido,126,3,female,3,2,sales_executive,3,married,19665,4,desconocido,22,4.0,2,2,3,4,8,5,7,1978,no,67,589.0,2.0,5154.0,10
465,40,No,travel_rarely, research_development ,4,desconocido,127,1,male,3,4,manager,1,desconocido,18991,2,desconocido,11,3.0,1,1,3,3,19,11,16,1983,yes,98,1137.0,1.0,5537.6,22
468,26,No,travel_frequently,desconocido,3,other,128,3,male,4,1,laboratory_technician,4,married,7102,0,No,18,3.0,1,1,3,3,7,7,7,1997,yes,61,1096.0,6.0,5874.8,8
470,47,No,desconocido,desconocido,4,desconocido,1934,3,male,3,2,research_scientist,2,married,2125,8,desconocido,18,3.0,3,1,4,4,8,1,7,1976,no,64,1169.0,14.0,6681.0,8
471,34,No,travel_rarely,desconocido,4,medical,1951,4,male,3,3,sales_executive,3,divorced,22914,1,No,18,3.0,3,1,2,2,8,1,1,1989,yes,39,1239.0,13.0,4500.0,9
472,26,No,desconocido, research_development ,3,medical,1952,3,male,3,1,laboratory_technician,1,single,20006,0,No,13,3.0,4,0,6,3,7,7,6,1997,yes,95,157.0,1.0,4626.6,8
473,27,No,travel_rarely,desconocido,3,desconocido,1965,4,male,3,2,sales_executive,4,desconocido,5099,1,desconocido,14,3.0,1,0,5,3,7,0,7,1996,no,44,954.0,9.0,6341.0,7
474,31,Yes,travel_frequently, sales ,4,marketing,1967,1,male,3,2,sales_executive,4,desconocido,21075,1,Yes,11,3.0,3,0,4,3,10,0,8,1992,yes,63,754.0,26.0,3530.6,10
475,33,No,travel_frequently,desconocido,2,life_sciences,129,4,male,3,2,healthcare_representative,3,divorced,18079,1,desconocido,20,3.0,3,3,2,3,9,2,8,1990,yes,66,1303.0,7.0,4139.6,9
476,31,No,desconocido,desconocido,3,desconocido,1979,3,female,3,3,research_director,3,married,26862,4,No,20,4.0,3,1,2,4,11,4,8,1992,yes,40,697.0,10.0,6280.6,13
477,35,No,desconocido,desconocido,4,medical,2008,2,male,3,2,research_scientist,3,desconocido,18698,1,No,19,3.0,2,0,5,3,10,0,8,1988,yes,48,1395.0,9.0,5098.0,10
478,33,No,travel_rarely,desconocido,2,desconocido,2009,2,female,3,2,healthcare_representative,4,married,21653,0,Yes,13,3.0,1,1,6,3,9,8,1,1990,yes,95,501.0,15.0,10384.4,15
479,39,No,travel_rarely,desconocido,1,life_sciences,2014,1,male,3,2,research_scientist,4,single,5340,7,No,13,3.0,1,0,2,3,7,1,7,1984,no,52,116.0,24.0,3369.0,9
480,36,No,travel_rarely,desconocido,3,desconocido,130,4,female,2,3,sales_executive,4,married,12695,0,No,19,3.0,3,2,2,3,9,3,4,1987,yes,94,557.0,17.4,9221.0,10
481,41,No,travel_rarely,desconocido,4,life_sciences,2034,1,female,2,4,manufacturing_director,2,married,5640,0,No,23,3.0,3,1,3,3,20,0,10,1982,yes,60,582.0,28.0,13570.0,21
482,34,No,desconocido, sales ,3,marketing,2035,4,female,2,2,sales_executive,3,married,8978,1,No,21,4.0,4,2,2,3,8,1,7,1989,no,95,704.0,28.0,6712.0,8
483,38,No,travel_rarely,desconocido,2,desconocido,131,1,female,3,2,sales_executive,4,married,5982,1,No,11,3.0,3,1,1,3,10,1,9,1985,yes,100,372.2,10.0,9869.6,10
484,39,No,travel_rarely,desconocido,1,desconocido,2062,4,male,2,3,healthcare_representative,1,desconocido,21457,4,desconocido,15,3.0,1,1,5,3,7,1,7,1984,yes,42,613.0,6.0,9991.0,9
485,34,No,travel_rarely,desconocido,4,desconocido,28,1,female,3,3,research_director,2,single,21293,0,No,11,3.0,3,0,4,3,12,2,11,1989,no,53,419.0,7.0,4088.8,6
486,44,No,travel_rarely,desconocido,4,medical,132,1,female,2,3,healthcare_representative,4,married,2094,3,desconocido,14,3.0,4,1,4,3,22,5,17,1979,yes,42,477.0,7.0,10248.0,24
487,46,No,desconocido,desconocido,4,desconocido,62,1,male,3,2,sales_executive,4,single,20445,4,desconocido,21,3.0,3,0,4,3,9,0,8,1977,yes,98,1211.0,5.0,5368.0,14
488,41,No,travel_frequently, research_development ,3,life_sciences,199,4,male,2,4,manager,1,divorced,12888,4,desconocido,13,3.0,2,1,2,2,7,7,7,1982,no,91,857.0,10.0,8130.2,15
489,39,No,desconocido, research_development ,4,desconocido,343,3,female,3,3,healthcare_representative,3,single,6420,0,No,25,4.0,4,0,1,3,19,11,8,1984,no,64,505.0,2.0,10938.0,20
490,42,No,travel_rarely,desconocido,3,medical,351,4,female,2,1,laboratory_technician,1,divorced,8007,0,Yes,11,3.0,3,1,4,3,9,7,8,1981,yes,56,269.0,2.0,2593.0,10
491,33,No,travel_frequently, research_development ,4,desconocido,428,4,female,3,3,manager,2,married,23364,6,desconocido,11,3.0,2,2,2,3,10,8,8,1990,yes,74,553.0,5.0,11878.0,12
492,35,No,travel_rarely,desconocido,4,technical_degree,464,3,male,3,3,manufacturing_director,2,single,18264,0,No,13,3.0,4,0,5,3,16,0,13,1988,yes,62,1296.0,5.0,8095.0,17
493,33,Yes,travel_rarely,desconocido,1,medical,133,2,male,3,3,manager,3,married,24619,7,desconocido,12,3.0,4,0,2,4,7,7,7,1990,yes,56,1277.0,15.0,5521.8,15
494,40,No,travel_rarely,desconocido,3,life_sciences,134,2,female,3,4,manufacturing_director,3,single,20364,7,No,15,3.0,3,0,3,3,20,5,13,1983,no,75,302.0,6.0,7839.0,22
495,41,No,travel_rarely,desconocido,4,human_resources,731,2,male,2,5,manager,4,divorced,8861,3,No,15,3.0,2,3,2,2,21,12,6,1982,no,73,427.0,10.0,8318.4,23
496,27,No,desconocido,desconocido,3,desconocido,764,4,female,2,2,healthcare_representative,1,desconocido,23398,8,No,19,3.0,1,0,2,1,7,0,7,1996,no,55,975.0,7.0,3894.0,6
497,52,No,travel_rarely,desconocido,4,marketing,135,3,male,2,4,manager,1,desconocido,10084,1,desconocido,11,3.0,1,0,3,4,34,1,16,1971,yes,31,621.0,3.0,16856.0,7
498,51,No,travel_rarely,desconocido,4,marketing,851,1,female,3,4,manager,3,married,5594,2,No,14,3.0,3,1,2,2,20,4,17,1972,no,66,1318.0,26.0,6067.0,10
499,47,No,travel_rarely,desconocido,2,marketing,903,3,female,3,2,sales_executive,4,desconocido,17783,0,desconocido,22,4.0,1,1,2,3,7,7,7,1976,yes,35,249.0,2.0,4537.0,8
500,50,No,non_travel, research_development ,4,desconocido,905,1,male,3,4,manager,1,divorced,4544,1,desconocido,11,3.0,4,1,3,3,31,14,7,1973,no,98,881.0,2.0,17924.0,31
501,35,No,travel_rarely, research_development ,1,life_sciences,942,4,female,3,2,healthcare_representative,4,married,19170,1,desconocido,25,4.0,4,1,2,1,10,0,7,1988,yes,51,1137.0,21.0,4014.0,10
502,39,No,travel_rarely,desconocido,1,desconocido,1026,4,female,2,4,manufacturing_director,4,married,7060,1,No,16,3.0,3,1,3,3,21,11,8,1984,yes,65,466.0,1.0,12742.0,7
